altitude,latitude,longitude,position_covariance_type,service,status,Time (s)
8.78025797941,1.26730601556,103.790910718,2,5,2,1726755107.09
8.78191796783,1.26730602068,103.790910722,2,5,2,1726755107.15
8.77886585332,1.26730601922,103.790910729,2,5,2,1726755107.19
8.77909285948,1.26730601042,103.790910729,2,5,2,1726755107.24
8.77536497731,1.26730600739,103.790910705,2,5,2,1726755107.3
8.77337819338,1.26730602024,103.790910716,2,5,2,1726755107.35
8.81481151376,1.26730600695,103.790910593,2,5,2,1726755107.41
8.81236484181,1.26730599023,103.790910583,2,5,2,1726755107.44
8.81644063629,1.26730600481,103.79091058,2,5,2,1726755107.5
8.81359840091,1.26730601065,103.790910598,2,5,2,1726755107.55
8.81050624419,1.26730599848,103.790910592,2,5,2,1726755107.59
8.8138274895,1.26730600024,103.790910582,2,5,2,1726755107.64
